Parameters: 
delta_t : 0.000000 
equillibrium_threshold : 0.000010 
max_cycles : 1000000.000000 
log_frequency : 100000.000000 
sample_frequency : 10.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 4.000000 
Run Time : 4.391279 

DATA START
t                       |D                       |I                       |N                       |
9.9999999999999995e-07  |9.7430210113881594e+02  |2.5689418465214558e+01  |8.4803959693820711e-03  |
1.9999999999999999e-06  |9.4926458580646442e+02  |5.0699924214242223e+01  |3.5489979293200510e-02  |
3.0000000000000001e-06  |9.2487048349356371e+02  |7.5048977599659153e+01  |8.0538906776988661e-02  |
3.9999999999999998e-06  |9.0110325979820084e+02  |9.8753590268618169e+01  |1.4314993318077757e-01  |
4.9999999999999996e-06  |8.7794680521885971e+02  |1.2183033669367011e+02  |2.2285808747008126e-01  |
6.0000000000000002e-06  |8.5538542423534716e+02  |1.4429536540726627e+02  |3.1921035738657666e-01  |
6.9999999999999999e-06  |8.3340382467031793e+02  |1.6616440994755743e+02  |4.3176538212467847e-01  |
7.9999999999999996e-06  |8.1198710732418624e+02  |1.8745279952290798e+02  |5.6009315290570494e-01  |
9.0000000000000002e-06  |7.9112075587639958e+02  |2.0817546940235374e+02  |7.0377472124668161e-01  |
9.9999999999999991e-06  |7.7079062704622777e+02  |2.2834697103904622e+02  |8.6240191472604666e-01  |
1.1000000000000000e-05  |7.5098294100640123e+02  |2.4798148193354527e+02  |1.0355770600536041e+00  |
1.2000000000000000e-05  |7.3168427204309819e+02  |2.6709281524364485e+02  |1.2229127132570183e+00  |
1.2999999999999999e-05  |7.1288153945595207e+02  |2.8569442914724607e+02  |1.4240313968019713e+00  |
1.4000000000000000e-05  |6.9456199869190880e+02  |3.0379943596462340e+02  |1.6385653434678003e+00  |
1.4999999999999999e-05  |6.7671323270692733e+02  |3.2142061104626760e+02  |1.8661562468050137e+00  |
1.5999999999999999e-05  |6.5932314354966593e+02  |3.3857040143232854e+02  |2.1064550180055486e+00  |
1.7000000000000000e-05  |6.4237994416145034e+02  |3.5526093428952868e+02  |2.3591215490209656e+00  |
1.8000000000000000e-05  |6.2587215038696729e+02  |3.7150402513126448e+02  |2.6238244817680352e+00  |
1.8999999999999998e-05  |6.0978857319026599e+02  |3.8731118582646843e+02  |2.9002409832652676e+00  |
1.9999999999999998e-05  |5.9411831107079183e+02  |4.0269363240265994e+02  |3.1880565265479861e+00  |
2.0999999999999999e-05  |5.7885074267431389e+02  |4.1766229264847249e+02  |3.4869646772134426e+00  |
2.1999999999999999e-05  |5.6397551959373607e+02  |4.3222781352081250e+02  |3.7966668854512826e+00  |
2.3000000000000000e-05  |5.4948255935491215e+02  |4.4640056836166923e+02  |4.1168722834184219e+00  |
2.4000000000000001e-05  |5.3536203858271210e+02  |4.6019066392946672e+02  |4.4472974878209728e+00  |
2.4999999999999998e-05  |5.2160438634270531e+02  |4.7360794724972510e+02  |4.7876664075694180e+00  |
2.5999999999999998e-05  |5.0820027765395002e+02  |4.8666201228967321e+02  |5.1377100563766644e+00  |
2.6999999999999999e-05  |4.9514062716849031e+02  |4.9936220646133756e+02  |5.4971663701719367e+00  |
2.8000000000000000e-05  |4.8241658301327743e+02  |5.1171763695751548e+02  |5.8657800292067925e+00  |
2.9000000000000000e-05  |4.7001952079034095e+02  |5.2373717692492630e+02  |6.2433022847326196e+00  |
2.9999999999999997e-05  |4.5794103773114279e+02  |5.3542947147872485e+02  |6.6294907901322038e+00  |
3.1000000000000001e-05  |4.4617294700115394e+02  |5.4680294356245497e+02  |7.0241094363908640e+00  |
3.1999999999999999e-05  |4.3470727215079040e+02  |5.5786579965741385e+02  |7.4269281917956445e+00  |
3.2999999999999996e-05  |4.2353624170894904e+02  |5.6862603534529717e+02  |7.8377229457539235e+00  |
