Parameters: 
delta_t : 0.000010 
equillibrium_threshold : 0.000010 
max_cycles : 10000000.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 50.000000 

Initial concentrations: 
D : 1000.000000 
I : 0.000000 
N : 0.000000 

DATA START
urea                    |D                       |I                       |N                       |
0.0000000000000000e+00  |5.6128689302770652e-09  |2.3927994751403035e-03  |9.9999760719491292e+02  |
1.6326530612244897e-01  |1.2468200000882979e-08  |3.4648449013142658e-03  |9.9999653514263116e+02  |
3.2653061224489793e-01  |2.7942142501193576e-08  |5.0617443036891311e-03  |9.9999493822775707e+02  |
4.8979591836734693e-01  |6.3219576573505273e-08  |7.4651685242327721e-03  |9.9999253476825868e+02  |
6.5306122448979587e-01  |1.4447932383502521e-07  |1.1120203092516925e-02  |9.9998887965242977e+02  |
8.1632653061224481e-01  |3.3322444827975498e-07  |1.6715853647285877e-02  |9.9998328381313149e+02  |
9.7959183673469385e-01  |7.7484226074851853e-07  |2.5331005709243192e-02  |9.9997466821944954e+02  |
1.1428571428571428e+00  |1.8157811057660047e-06  |3.8681808999713539e-02  |9.9996131637521466e+02  |
1.3061224489795917e+00  |4.2871717568079244e-06  |5.9507137508418413e-02  |9.9994048857531936e+02  |
1.4693877551020407e+00  |1.0190611039978312e-05  |9.2151817557508231e-02  |9.9990783799182714e+02  |
1.6326530612244896e+00  |2.4364070384820669e-05  |1.4352009087465639e-01  |9.9985645554505402e+02  |
1.7959183673469385e+00  |5.8551762381739657e-05  |2.2465578802436623e-01  |9.9977528566022022e+02  |
1.9591836734693877e+00  |1.4134938322072293e-04  |3.5321971432865673e-01  |9.9964663893629609e+02  |
2.1224489795918364e+00  |3.4255058755340974e-04  |5.5745754270915993e-01  |9.9944219990671024e+02  |
2.2857142857142856e+00  |8.3285221285989348e-04  |8.8258786710228998e-01  |9.9911657928069678e+02  |
2.4489795918367343e+00  |2.0303454427510570e-03  |1.4009865624212543e+00  |9.9859698309213400e+02  |
2.6122448979591835e+00  |4.9601023544608531e-03  |2.2284539398534684e+00  |9.9776658595777576e+02  |
2.7755102040816326e+00  |1.2136351625970633e-02  |3.5500018863383538e+00  |9.9643786176204833e+02  |
2.9387755102040813e+00  |2.9722489633245995e-02  |5.6602386969589382e+00  |9.9431003881339291e+02  |
3.1020408163265305e+00  |7.2803013101274017e-02  |9.0259425687986781e+00  |9.9090125441808141e+02  |
3.2653061224489792e+00  |1.7816973401069400e-01  |1.4379963595045510e+01  |9.8544186667094266e+02  |
3.4285714285714284e+00  |4.3500870818566173e-01  |2.2855540928379245e+01  |9.7670945036342641e+02  |
3.5918367346938771e+00  |1.0572263261135790e+00  |3.6159468221791066e+01  |9.6278330545210270e+02  |
3.7551020408163263e+00  |2.5487304268973681e+00  |5.6745408589131941e+01  |9.4070586098397860e+02  |
3.9183673469387754e+00  |6.0612087866319166e+00  |8.7844019584471525e+01  |9.0609477162888993e+02  |
4.0816326530612246e+00  |1.4095357523761834e+01  |1.3297481747134574e+02  |8.5292982500489313e+02  |
4.2448979591836729e+00  |3.1625265783277612e+01  |1.9420598271313585e+02  |7.7416875150356520e+02  |
4.4081632653061220e+00  |6.7142543214582446e+01  |2.6838380842903257e+02  |6.6447364835636995e+02  |
4.5714285714285712e+00  |1.3158910106152788e+02  |3.4237608936007831e+02  |5.2603480957844204e+02  |
4.7346938775510203e+00  |2.3221574831462752e+02  |3.9327341242846796e+02  |3.7451083925694377e+02  |
4.8979591836734686e+00  |3.6341679651429382e+02  |4.0060926036772338e+02  |2.3597394311799204e+02  |
5.0612244897959178e+00  |5.0557307881637195e+02  |3.6274849181194833e+02  |1.3167842937165912e+02  |
5.2244897959183669e+00  |6.3664593666519920e+02  |2.9731486106743165e+02  |6.6039202267366122e+01  |
5.3877551020408161e+00  |7.4367328661137321e+02  |2.2604106783903401e+02  |3.0285645549573747e+01  |
5.5510204081632653e+00  |8.2417404379141658e+02  |1.6304137035743889e+02  |1.2784585851136759e+01  |
5.7142857142857135e+00  |8.8163234178781647e+02  |1.1350736018802792e+02  |4.8602980241657860e+00  |
5.8775510204081627e+00  |9.2131517534343857e+02  |7.7193674807130563e+01  |1.4911498494186208e+00  |
6.0408163265306118e+00  |9.4795362241312944e+02  |5.1685837718918755e+01  |3.6053986795740717e-01  |
6.2040816326530610e+00  |9.6560728394553439e+02  |3.4258859135232058e+01  |1.3385691924090720e-01  |
6.3673469387755093e+00  |9.7738500172473061e+02  |2.2562263778938874e+01  |5.2734496329472101e-02  |
6.5306122448979584e+00  |9.8518372240832184e+02  |1.4795255933553717e+01  |2.1021658123023920e-02  |
6.6938775510204076e+00  |9.9031788505272993e+02  |9.6737216461717139e+00  |8.3933010945106620e-03  |
6.8571428571428568e+00  |9.9368440499711642e+02  |6.3122492794298930e+00  |3.3457234495081318e-03  |
7.0204081632653059e+00  |9.9588591202850091e+02  |4.1127584935766022e+00  |1.3294779262006658e-03  |
7.1836734693877542e+00  |9.9732291430401347e+02  |2.6765594756013487e+00  |5.2622038711274929e-04  |
7.3469387755102034e+00  |9.9825967216651622e+02  |1.7401204483976058e+00  |2.0738508477600637e-04  |
7.5102040816326525e+00  |9.9886974626080644e+02  |1.1301724086739764e+00  |8.1330519593129938e-05  |
7.6734693877551017e+00  |9.9926675885527220e+02  |7.3320942634157493e-01  |3.1718388902384326e-05  |
7.8367346938775508e+00  |9.9952495205469575e+02  |4.7503565804438491e-01  |1.2287261378531906e-05  |
8.0000000000000000e+00  |9.9969273036897971e+02  |3.0726490440094262e-01  |4.7266179728501155e-06  |
