Parameters: 
delta_t : 0.000001 
equillibrium_threshold : 0.000100 
max_cycles : 1000000.000000 
urea_min : 0.000000 
urea_max : 8.000000 
urea_steps : 200.000000 

Initial concentrations: 
D : 1000.000000 
I : 0.000000 
N : 0.000000 

DATA START
urea                    |D                       |I                       |N                       |
0.0000000000000000e+00  |3.2747208282385129e-07  |1.3794917700126003e-01  |9.9986205049552223e+02  |
4.0201005025125629e-02  |3.9009750545147521e-07  |1.4785128973698070e-01  |9.9985214832016402e+02  |
8.0402010050251257e-02  |4.6504752900913677e-07  |1.5858295105202108e-01  |9.9984141658390377e+02  |
1.2060301507537688e-01  |5.5405617879987299e-07  |1.6998883832518596e-01  |9.9983001060762138e+02  |
1.6080402010050251e-01  |6.6017149638592196e-07  |1.8223466861103918e-01  |9.9981776467122233e+02  |
2.0100502512562815e-01  |7.8679456199277968e-07  |1.9540846983395005e-01  |9.9980459074336545e+02  |
2.4120603015075376e-01  |9.3719929940837163e-07  |2.0942188557179411e-01  |9.9979057717722549e+02  |
2.8140703517587939e-01  |1.1167101400400329e-06  |2.2451162465028132e-01  |9.9977548725863255e+02  |
3.2160804020100503e-01  |1.3308925992451944e-06  |2.4074088487912684e-01  |9.9975925778423550e+02  |
3.6180904522613067e-01  |1.5858936819024376e-06  |2.5810097721874475e-01  |9.9974189743688680e+02  |
4.0201005025125630e-01  |1.8904354315565583e-06  |2.7681293149434871e-01  |9.9972318517807821e+02  |
4.4221105527638194e-01  |2.2523018895685277e-06  |2.9672929218450222e-01  |9.9970326845551267e+02  |
4.8241206030150752e-01  |2.6847625761312955e-06  |3.1823592987309313e-01  |9.9968176138537899e+02  |
5.2261306532663321e-01  |3.1998133722884876e-06  |3.4125404175081192e-01  |9.9965874275843635e+02  |
5.6281407035175879e-01  |3.8137232381805381e-06  |3.6594218045015858e-01  |9.9963405400583179e+02  |
6.0301507537688448e-01  |4.5452053549767601e-06  |3.9239845922432165e-01  |9.9960759699557059e+02  |
6.4321608040201006e-01  |5.4169244401819405e-06  |4.2076286201931973e-01  |9.9957923172105052e+02  |
6.8341708542713564e-01  |6.4578578974048111e-06  |4.5131966120302047e-01  |9.9954867388093680e+02  |
7.2361809045226133e-01  |7.6972935466211480e-06  |4.8400003041846607e-01  |9.9951599227228974e+02  |
7.6381909547738691e-01  |9.1752721510587938e-06  |5.1908473265756860e-01  |9.9948090609208009e+02  |
8.0402010050251260e-01  |1.0938884621506692e-05  |5.5680700500240188e-01  |9.9944318205611580e+02  |
8.4422110552763818e-01  |1.3041146894328855e-05  |5.9725560364906294e-01  |9.9940273135520613e+02  |
8.8442211055276387e-01  |1.5545843149756652e-05  |6.4057799698098750e-01  |9.9935940645716050e+02  |
9.2462311557788945e-01  |1.8535376679294616e-05  |6.8718374767492785e-01  |9.9931279771694790e+02  |
9.6482412060301503e-01  |2.2101817377223022e-05  |7.3724810322722978e-01  |9.9926272979497799e+02  |
1.0050251256281406e+00  |2.6352983151539792e-05  |7.9091575635047462e-01  |9.9920905789066580e+02  |
1.0452261306532664e+00  |3.1426047866028077e-05  |8.4860482841154761e-01  |9.9915136374552787e+02  |
1.0854271356783920e+00  |3.7476034779769700e-05  |9.1051108101982703e-01  |9.9908945144295535e+02  |
1.1256281407035176e+00  |4.4689706925147637e-05  |9.7691235636929308e-01  |9.9902304295391912e+02  |
1.1658291457286432e+00  |5.3302891323766577e-05  |1.0483732533723802e+00  |9.9895157344373092e+02  |
1.2060301507537690e+00  |6.3575378477344761e-05  |1.1250501023397763e+00  |9.9887488632228440e+02  |
1.2462311557788945e+00  |7.5831291768034903e-05  |1.2073961659757588e+00  |9.9879252800274151e+02  |
1.2864321608040201e+00  |9.0463534567743062e-05  |1.2959671590668480e+00  |9.9870394237739481e+02  |
1.3266331658291457e+00  |1.0791834374666706e-04  |1.3910270968033427e+00  |9.9860886498485957e+02  |
1.3668341708542713e+00  |1.2875759753597338e-04  |1.4932544076789924e+00  |9.9850661683472833e+02  |
